cid,identity,score
3_16,1_5~CUW~2_22#MGNF,24.0
5_2,4_5~CUW~4_3,14.0
5_3,4_16~CUW~4_5,14.0
5_4,4_18~CUW~4_16#MGNP,22.0
5_5,4_16~CUW~4_5#MGNP,24.0
5_6,3_16~CUW~4_16#MGNP,22.0
5_7,4_16~CUW~4_5#MGNP,14.0
5_8,4_3~CUW~3_16#MGNP,21.0
5_9,4_3~CUW~4_18#MGNF,22.0
5_10,4_5~CUW~4_3#MGNP,21.0
5_11,3_16~CUW~4_5#MGNF,22.0
5_12,4_18~CUW~4_5,14.0
5_13,4_3~CUW~4_18,21.0
5_14,4_16~CUW~4_5#MUR,13.0
5_15,4_16~CUW~4_5#MGNP,17.0
5_16,4_16~CUW~3_16#MGNF,21.0
5_17,3_16~CUW~4_3#MGNP,22.0
5_18,3_16~CUW~4_5#MGNF,14.0
5_19,4_18~CUW~4_5#MGNF,14.0
5_20,4_16~CUW~3_16#MGNP,24.0
5_21,4_5~CUW~4_18#MUR,16.0
5_22,4_18~CUW~3_16#MGNF,21.0
5_23,4_16~CUW~4_5#MGNF,18.0
5_24,3_16~CUW~4_5#MUR,18.0
5_25,4_16~CUW~4_5#MGNF,24.0
