cid,identity,score
1_5,(none),86.0
5_2,1_5~CUW~4_7,83.0
5_3,4_7~CUW~4_9#MUR,42.0
5_4,4_9~CUW~4_10#MGNP,80.0
5_5,4_4~CUW~4_7,80.0
5_6,4_10~CUW~1_5#MUR,51.0
5_7,1_5~CUW~4_4#MGNP,79.0
5_8,1_5~CUW~4_7#MGNF,71.0
5_9,4_4~CUW~4_10#MGNP,75.0
5_10,4_9~CUW~1_5#MGNF,86.0
5_11,4_7~CUW~4_9,86.0
5_12,4_4~CUW~4_7#MGNP,80.0
5_13,4_9~CUW~1_5,86.0
5_14,1_5~CUW~4_10#MGNF,85.0
5_15,4_4~CUW~1_5#MGNF,77.0
5_16,1_5~CUW~4_9#MUR,38.0
5_17,4_9~CUW~4_4,86.0
5_18,4_7~CUW~4_9#MGNF,74.0
5_19,4_9~CUW~1_5,86.0
5_20,1_5~CUW~4_9#MUR,54.0
5_21,1_5~CUW~4_4,79.0
5_22,4_4~CUW~4_9#MUR,78.0
5_23,4_4~CUW~4_9#MUR,83.0
5_24,1_5~CUW~4_7#MGNF,86.0
5_25,4_4~CUW~1_5,80.0
