cid,identity,score
1_2,(none),74.0
2_2,1_2~CUW~1_17#MGNF,62.0
2_3,1_8~CUW~1_17#MUR,55.0
2_4,1_17~CUW~1_9,45.0
2_5,1_17~CUW~1_9#MUR,54.0
2_6,1_17~CUW~1_8,42.0
2_7,1_17~CUW~1_14#MGNP,74.0
2_8,1_14~CUW~1_2#MUR,42.0
2_9,1_2~CUW~1_8#MGNP,42.0
2_10,1_2~CUW~1_9#MGNF,74.0
2_11,1_8~CUW~1_2#MUR,42.0
2_12,1_17~CUW~1_14#MGNF,68.0
2_13,1_17~CUW~1_14#MGNF,74.0
2_14,1_14~CUW~1_9#MUR,64.0
2_15,1_8~CUW~1_17#MGNF,46.0
2_16,1_17~CUW~1_2#MGNF,42.0
2_17,1_14~CUW~1_17#MGNP,73.0
2_18,1_2~CUW~1_17,42.0
2_19,1_17~CUW~1_2#MGNP,74.0
2_20,1_17~CUW~1_2#MGNF,32.0
2_21,1_17~CUW~1_14#MUR,64.0
2_22,1_2~CUW~1_8#MGNP,61.0
2_23,1_8~CUW~1_17#MGNP,42.0
2_24,1_9~CUW~1_14,38.0
2_25,1_9~CUW~1_17#MGNP,70.0
