cid,identity,score
2_11,1_7~CUW~1_21,33609856.0
5_2,4_14~CUW~4_15#MGNP,33362306.0
5_3,4_8~CUW~4_6#MUR,21207406.0
5_4,4_6~CUW~2_11#MGNF,31852200.0
5_5,4_15~CUW~4_14#MGNP,30920230.0
5_6,2_11~CUW~4_15,35309204.0
5_7,4_14~CUW~4_6#MGNF,30628688.0
5_8,2_11~CUW~4_14#MGNP,22952844.0
5_9,4_8~CUW~4_6#MGNP,30920360.0
5_10,2_11~CUW~4_14#MGNF,30540656.0
5_11,4_8~CUW~4_15#MGNF,24024054.0
5_12,4_6~CUW~2_11#MUR,18179536.0
5_13,4_14~CUW~4_15#MUR,16453155.0
5_14,4_6~CUW~4_14,32716032.0
5_15,2_11~CUW~4_6#MGNP,26558878.0
5_16,4_14~CUW~4_8#MGNP,30294922.0
5_17,4_14~CUW~4_8,24669038.0
5_18,2_11~CUW~4_8#MGNP,19405472.0
5_19,4_6~CUW~4_14#MUR,26805028.0
5_20,4_14~CUW~4_6#MUR,27127624.0
5_21,4_8~CUW~2_11#MGNF,26031334.0
5_22,4_6~CUW~4_14,30327252.0
5_23,4_8~CUW~2_11,29653688.0
5_24,4_8~CUW~4_15,26366296.0
5_25,4_6~CUW~4_14#MUR,29101936.0
