cid,identity,score
1_1,(none),10.0
14_2,13_2~CUW~1_1#MGNP,10.0
14_3,13_3~CUW~13_5#MGNP,10.0
14_4,13_3~CUW~13_5#MGNF,10.0
14_5,13_5~CUW~13_2#MGNP,10.0
14_6,13_2~CUW~1_1#MUR,10.0
14_7,13_3~CUW~13_5#MGNP,10.0
14_8,13_3~CUW~13_4#MGNF,10.0
14_9,13_5~CUW~13_3#MGNP,10.0
14_10,13_5~CUW~13_3#MGNP,10.0
14_11,13_4~CUW~1_1#MGNF,10.0
14_12,13_5~CUW~1_1#MUR,10.0
14_13,13_5~CUW~1_1#MGNF,10.0
14_14,13_4~CUW~13_5#MGNF,10.0
14_15,13_2~CUW~13_3#MGNP,10.0
14_16,13_2~CUW~13_5#MUR,10.0
14_17,13_2~CUW~13_3#MGNP,10.0
14_18,13_5~CUW~1_1#MUR,10.0
14_19,13_2~CUW~13_3#MGNF,10.0
14_20,13_4~CUW~1_1#MGNF,10.0
14_21,1_1~CUW~13_2#MGNP,10.0
14_22,13_4~CUW~13_2#MUR,10.0
14_23,13_5~CUW~13_4#MGNF,10.0
14_24,13_4~CUW~13_5#MGNF,10.0
14_25,13_3~CUW~13_4#MGNF,10.0
