cid,identity,score
1_1,(none),21.0
3_2,2_2~CUW~2_4#MGNP,21.0
3_3,2_4~CUW~2_2#MUR,21.0
3_4,2_2~CUW~2_4#MUR,16.0
3_5,1_1~CUW~2_15#MGNP,14.0
3_6,2_12~CUW~2_2#MUR,14.0
3_7,2_12~CUW~2_4#MGNF,21.0
3_8,2_2~CUW~2_15#MUR,21.0
3_9,2_15~CUW~2_12#MGNP,16.0
3_10,2_2~CUW~2_15#MGNF,16.0
3_11,2_12~CUW~2_2#MGNP,16.0
3_12,2_15~CUW~2_12#MGNP,16.0
3_13,2_2~CUW~1_1#MGNF,24.0
3_14,2_15~CUW~1_1#MGNF,21.0
3_15,2_4~CUW~2_2,21.0
3_16,1_1~CUW~2_12,21.0
3_17,2_4~CUW~2_15#MGNF,21.0
3_18,1_1~CUW~2_15,21.0
3_19,1_1~CUW~2_4#MUR,20.0
3_20,2_2~CUW~2_12#MGNF,21.0
3_21,2_4~CUW~2_12#MGNF,21.0
3_22,2_2~CUW~2_15#MGNF,20.0
3_23,1_1~CUW~2_2,21.0
3_24,2_2~CUW~2_4,21.0
3_25,1_1~CUW~2_15,16.0
