cid,identity,score
1_4,(none),21.0
5_2,4_7~CUW~1_4#MGNP,16.0
5_3,4_3~CUW~4_2,21.0
5_4,4_7~CUW~4_2#MGNF,12.0
5_5,4_3~CUW~4_5#MUR,16.0
5_6,4_2~CUW~4_7#MGNF,21.0
5_7,4_3~CUW~1_4,21.0
5_8,4_3~CUW~4_2#MGNP,21.0
5_9,1_4~CUW~4_3#MGNP,16.0
5_10,1_4~CUW~4_2#MGNP,21.0
5_11,4_5~CUW~4_7#MGNF,21.0
5_12,4_5~CUW~4_7#MUR,18.0
5_13,4_7~CUW~4_5,21.0
5_14,4_3~CUW~1_4#MUR,12.0
5_15,4_7~CUW~1_4#MGNP,21.0
5_16,1_4~CUW~4_5#MGNF,21.0
5_17,1_4~CUW~4_2,21.0
5_18,4_2~CUW~1_4#MGNF,21.0
5_19,4_2~CUW~4_5#MGNF,21.0
5_20,4_7~CUW~4_3,21.0
5_21,4_2~CUW~1_4#MGNF,21.0
5_22,4_7~CUW~4_5#MGNP,21.0
5_23,4_2~CUW~4_7#MGNF,21.0
5_24,4_3~CUW~4_5,21.0
5_25,4_3~CUW~4_7,21.0
